data,marca,modelo,ano,km,preco
03/03/2024,JEEP,RENEGADE LONGITUDE FLEX 4X2 AT 1.8 4P,"2021/2021
 ","30.063 km
 ",R$ 96.090
03/03/2024,RENAULT,DUSTER ICONIC AT SCE 1.6 4P,"2022/2023
 ","20.352 km
 ",R$ 112.290
03/03/2024,RENAULT,KWID ZEN 1.0,"2021/2022
 ","43.443 km
 ",R$ 52.990
03/03/2024,FIAT,CRONOS DRIVE 1.0,"2022/2023
 ","57.985 km
 ",R$ 71.990
03/03/2024,HYUNDAI,HB20 EVOLUTION 1.0 4P,"2022/2022
 ","53.144 km
 ",R$ 68.990
03/03/2024,FIAT,MOBI LIKE 1.0 4P,"2021/2021
 ","33.712 km
 ",R$ 53.590
03/03/2024,CITROEN,C4 CACTUS FEEL AT 1.6 4P,"2022/2022
 ","40.925 km
 ",R$ 84.190
03/03/2024,FIAT,CRONOS DRIVE 1.3 4P,"2022/2022
 ","52.682 km
 ",R$ 76.990
03/03/2024,FORD,KA SEDAN SE PLUS AT 1.5 4P,"2020/2020
 ","41.973 km
 ",R$ 66.990
03/03/2024,JEEP,RENEGADE LONGITUDE FLEX 4X2 AT 1.8 4P,"2021/2021
 ","26.383 km
 ",R$ 96.690
03/03/2024,VOLKSWAGEN,GOL MPI 1.0 4P,"2022/2023
 ","57.741 km
 ",R$ 58.590
03/03/2024,FIAT,ARGO FLEX 1.0 4P,"2022/2023
 ","31.843 km
 ",R$ 65.790
03/03/2024,VOLKSWAGEN,VOYAGE MPI 1.0 4P,"2021/2022
 ","43.339 km
 ",R$ 58.590
03/03/2024,VOLKSWAGEN,VOYAGE 1.0,"2022/2023
 ","60.018 km
 ",R$ 58.990
03/03/2024,CHEVROLET,ONIX PLUS TURBO LTZ MT 1.0 4P,"2021/2022
 ","39.669 km
 ",R$ 80.990
03/03/2024,VOLKSWAGEN,GOL 1.0,"2022/2023
 ","49.899 km
 ",R$ 56.990
03/03/2024,FIAT,ARGO 1.0,"2022/2023
 ","51.826 km
 ",R$ 61.490
03/03/2024,FIAT,MOBI LIKE 1.0 4P,"2022/2023
 ","17.259 km
 ",R$ 59.090
03/03/2024,VOLKSWAGEN,VOYAGE MPI AT 1.6 4P,"2021/2022
 ","77.396 km
 ",R$ 66.390
03/03/2024,VOLKSWAGEN,GOL MPI 1.0 4P,"2020/2021
 ","70.504 km
 ",R$ 53.190
03/03/2024,CITROEN,C3 FEEL 1.0,"2022/2023
 ","35.763 km
 ",R$ 73.090
03/03/2024,HYUNDAI,HB20 COMFORT 1.0,"2022/2023
 ","61.832 km
 ",R$ 65.990
03/03/2024,HYUNDAI,HB20 COMFORT 1.0,"2022/2023
 ","59.042 km
 ",R$ 65.990
03/03/2024,FIAT,ARGO FLEX 1.0 4P,"2021/2022
 ","32.622 km
 ",R$ 65.190
03/03/2024,FIAT,ARGO FLEX 1.0 4P,"2022/2023
 ","59.666 km
 ",R$ 64.490
03/03/2024,FIAT,MOBI LIKE 1.0 4P,"2022/2022
 ","56.781 km
 ",R$ 54.390
03/03/2024,CHEVROLET,ONIX PLUS TURBO LTZ AT 1.0 4P,"2022/2023
 ","30.004 km
 ",R$ 93.890
03/03/2024,HYUNDAI,HB20 VISION 1.0,"2022/2022
 ","74.916 km
 ",R$ 63.990
03/03/2024,HYUNDAI,HB20 LIMITED 1.0,"2022/2023
 ","63.024 km
 ",R$ 69.990
03/03/2024,FIAT,ARGO DRIVE 1.0,"2022/2023
 ","40.207 km
 ",R$ 65.990
03/03/2024,VOLKSWAGEN,VIRTUS MSI AT 1.6 4P,"2019/2020
 ","77.416 km
 ",R$ 74.690
03/03/2024,FIAT,ARGO FLEX 1.0 4P,"2022/2023
 ","77.416 km
 ",R$ 64.090
03/03/2024,HYUNDAI,HB20 LIMITED 1.0,"2022/2023
 ","56.395 km
 ",R$ 69.990
03/03/2024,HYUNDAI,HB20S PLATINUM TGDI AT 1.0 4P,"2022/2022
 ","27.540 km
 ",R$ 88.990
03/03/2024,VOLKSWAGEN,GOL 1.0,"2022/2023
 ","62.495 km
 ",R$ 56.990
03/03/2024,FIAT,MOBI LIKE 1.0,"2022/2023
 ","61.309 km
 ",R$ 52.490
03/03/2024,FIAT,MOBI LIKE 1.0,"2022/2023
 ","61.073 km
 ",R$ 52.490
03/03/2024,CHEVROLET,SPIN PREMIER 7L 1.8,"2022/2023
 ","42.525 km
 ",R$ 103.790
03/03/2024,FIAT,ARGO DRIVE 1.0,"2020/2021
 ","38.325 km
 ",R$ 65.390
03/03/2024,FIAT,ARGO FLEX 1.0 4P,"2021/2022
 ","37.220 km
 ",R$ 64.090
03/03/2024,VOLKSWAGEN,GOL 1.0,"2022/2023
 ","52.297 km
 ",R$ 56.990
03/03/2024,FIAT,MOBI LIKE 1.0,"2022/2023
 ","43.000 km
 ",R$ 52.490
03/03/2024,HYUNDAI,HB20 COMFORT 1.0,"2022/2023
 ","48.228 km
 ",R$ 65.990
03/03/2024,CHEVROLET,TRACKER PREMIER 1.2,"2022/2023
 ","52.938 km
 ",R$ 118.990
03/03/2024,HYUNDAI,HB20 COMFORT 1.0,"2022/2023
 ","49.434 km
 ",R$ 65.990
03/03/2024,CHEVROLET,ONIX PLUS LT 1.0,"2022/2023
 ","46.430 km
 ",R$ 77.990
03/03/2024,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,"2022/2022
 ","23.745 km
 ",R$ 124.390
03/03/2024,RENAULT,CAPTUR INTENSE AT SCE 1.6 4P,"2019/2020
 ","49.959 km
 ",R$ 85.990
03/03/2024,FIAT,UNO ATTRACTIVE EVO 1.0 4P,"2020/2020
 ","53.547 km
 ",R$ 50.990
03/03/2024,MITSUBISHI,ECLIPSE CROSS HPE 1.5,"2022/2023
 ","47.270 km
 ",R$ 146.990
03/03/2024,HYUNDAI,HB20 COMFORT 1.0,"2022/2023
 ","61.748 km
 ",R$ 65.990
03/03/2024,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,"2022/2023
 ","3.896 km
 ",R$ 133.990
03/03/2024,RENAULT,CAPTUR INTENSE AT SCE 1.6 4P,"2019/2020
 ","83.226 km
 ",R$ 84.090
03/03/2024,RENAULT,DUSTER ZEN AT SCE 1.6 4P,"2020/2021
 ","95.258 km
 ",R$ 83.290
03/03/2024,FIAT,ARGO FLEX 1.0 4P,"2022/2023
 ","64.453 km
 ",R$ 62.890
03/03/2024,VOLKSWAGEN,VOYAGE MPI 1.0 4P,"2021/2022
 ","58.239 km
 ",R$ 58.190
03/03/2024,FIAT,MOBI LIKE 1.0,"2022/2023
 ","60.230 km
 ",R$ 52.490
03/03/2024,VOLKSWAGEN,JETTA R-LINE 250 TSI 1.4 4P,"2019/2020
 ","49.039 km
 ",R$ 122.900
03/03/2024,FIAT,TORO ENDURANCE FLEX MT 4X2 1.8 4P,"2020/2020
 ","37.115 km
 ",R$ 95.900
03/03/2024,FIAT,CRONOS DRIVE 1.0,"2022/2023
 ","40.676 km
 ",R$ 71.990
03/03/2024,VOLKSWAGEN,GOL MPI 1.0 4P,"2019/2020
 ","20.283 km
 ",R$ 55.390
03/03/2024,CHERY,TIGGO 5X PRO 1.5,"2022/2023
 ","16.866 km
 ",R$ 146.090
03/03/2024,CHEVROLET,ONIX PLUS LT 1.0,"2022/2023
 ","27.451 km
 ",R$ 82.990
03/03/2024,RENAULT,DUSTER EXPRESSION AT SCE 1.6 4P,"2019/2020
 ","50.706 km
 ",R$ 78.890
03/03/2024,RENAULT,DUSTER EXPRESSION AT SCE 1.6 4P,"2019/2020
 ","65.677 km
 ",R$ 77.990
03/03/2024,VOLVO,XC40 T4 MOMENTUM 2.0,"2020/2021
 ","34.307 km
 ",R$ 205.390
03/03/2024,VOLKSWAGEN,GOL MPI 1.0 4P,"2022/2023
 ","47.931 km
 ",R$ 59.390
03/03/2024,JEEP,COMPASS LIMITED FLEX 4X2 AT 2.0 4P,"2020/2021
 ","35.874 km
 ",R$ 122.190
03/03/2024,VOLKSWAGEN,GOL MPI MT 1.6 4P,"2020/2021
 ","88.690 km
 ",R$ 54.190
03/03/2024,VOLKSWAGEN,TIGUAN ALLSPACE COMFORTLINE 7L 1.4,"2019/2019
 ","70.813 km
 ",R$ 133.990
03/03/2024,FIAT,ARGO DRIVE 1.0 4P,"2022/2022
 ","18.503 km
 ",R$ 69.290
03/03/2024,FIAT,CRONOS DRIVE 1.3,"2022/2022
 ","43.356 km
 ",R$ 77.390
03/03/2024,FIAT,CRONOS DRIVE 1.3 4P,"2022/2022
 ","50.926 km
 ",R$ 75.490
03/03/2024,VOLKSWAGEN,VOYAGE 1.6,"2021/2022
 ","61.897 km
 ",R$ 64.990
03/03/2024,TOYOTA,COROLLA XEI VVT-IE AT 2.0 4P,"2021/2022
 ","39.921 km
 ",R$ 125.990
03/03/2024,FIAT,ARGO DRIVE 1.0 4P,"2020/2020
 ","66.288 km
 ",R$ 55.900
03/03/2024,FIAT,STRADA CP ENDURANCE FLEX 1.4 2P,"2022/2022
 ","25.980 km
 ",R$ 79.390
03/03/2024,HYUNDAI,HB20 EVOLUTION 1.0 4P,"2022/2022
 ","78.809 km
 ",R$ 65.590
03/03/2024,HYUNDAI,HB20 VISION 1.0 4P,"2022/2022
 ","41.885 km
 ",R$ 66.290
03/03/2024,VOLKSWAGEN,VOYAGE MPI 1.0 4P,"2022/2023
 ","40.579 km
 ",R$ 61.790
03/03/2024,VOLKSWAGEN,GOL MPI 1.0 4P,"2021/2022
 ","73.549 km
 ",R$ 53.190
03/03/2024,FIAT,ARGO DRIVE 1.0,"2022/2022
 ","33.892 km
 ",R$ 68.490
